Health_Center_ID,Disease_Name,month,hist_disease_p_avg
1,Joint Pain,12,1.8103448275862069
1,Other,1,1.4166666666666667
1,Other,2,2.26027397260274
1,Other,3,1.7857142857142858
1,Other,4,1.955223880597015
1,Other,5,1.9402985074626866
1,Other,6,2.2083333333333335
1,Other,7,2.289473684210526
1,Other,8,2.3552631578947367
1,Other,9,2.2666666666666666
1,Other,10,2.2467532467532467
1,Other,11,1.5593220338983051
1,Other,12,1.375
1,Respiratory Issues,1,7.67741935483871
1,Respiratory Issues,2,2.108108108108108
1,Respiratory Issues,3,1.7164179104477613
1,Respiratory Issues,4,1.75
1,Respiratory Issues,5,1.6666666666666667
1,Respiratory Issues,6,2.16
1,Respiratory Issues,7,2.0759493670886076
1,Respiratory Issues,8,2.1973684210526314
1,Respiratory Issues,9,2.1333333333333333
1,Respiratory Issues,10,2.1025641025641026
1,Respiratory Issues,11,7.988888888888889
1,Respiratory Issues,12,8.236559139784946
1,Skin Problems,1,1.6346153846153846
1,Skin Problems,2,2.347826086956522
1,Skin Problems,3,1.8732394366197183
1,Skin Problems,4,1.7936507936507937
1,Skin Problems,5,1.7567567567567568
1,Skin Problems,6,2.0833333333333335
1,Skin Problems,7,2.2125
1,Skin Problems,8,2.2911392405063293
1,Skin Problems,9,2.1095890410958904
1,Skin Problems,10,2.4675324675324677
1,Skin Problems,11,1.6538461538461537
1,Skin Problems,12,1.6181818181818182
1,Stomach Issues,1,1.4363636363636363
1,Stomach Issues,2,2.2816901408450705
1,Stomach Issues,3,6.282608695652174
1,Stomach Issues,4,5.839080459770115
1,Stomach Issues,5,5.836956521739131
1,Stomach Issues,6,4.793103448275862
1,Stomach Issues,7,4.739130434782608
1,Stomach Issues,8,4.648351648351649
1,Stomach Issues,9,4.045977011494253
1,Stomach Issues,10,2.464788732394366
1,Stomach Issues,11,1.6724137931034482
1,Stomach Issues,12,1.5925925925925926
2,Cold/Cough,1,7.817204301075269
2,Cold/Cough,2,2.1944444444444446
2,Cold/Cough,3,1.576271186440678
2,Cold/Cough,4,1.8873239436619718
2,Cold/Cough,5,1.9402985074626866
2,Cold/Cough,6,1.9264705882352942
2,Cold/Cough,7,2.2567567567567566
2,Cold/Cough,8,1.974025974025974
2,Cold/Cough,9,2.125
2,Cold/Cough,10,2.128205128205128
2,Cold/Cough,11,7.833333333333333
2,Cold/Cough,12,7.924731182795699
2,Diabetes,1,1.4242424242424243
2,Diabetes,2,1.66
2,Diabetes,3,1.4761904761904763
2,Diabetes,4,1.441860465116279
2,Diabetes,5,1.2857142857142858
2,Diabetes,6,1.7291666666666667
2,Diabetes,7,1.4516129032258065
2,Diabetes,8,1.4042553191489362
2,Diabetes,9,1.4230769230769231
2,Diabetes,10,1.66
2,Diabetes,11,1.4102564102564104
2,Diabetes,12,1.2758620689655173
2,Eye Problems,1,1.8
2,Eye Problems,2,2.3043478260869565
2,Eye Problems,3,1.9
2,Eye Problems,4,1.7681159420289856
2,Eye Problems,5,1.7014925373134329
2,Eye Problems,6,2.2941176470588234
2,Eye Problems,7,2.1794871794871793
2,Eye Problems,8,2.2535211267605635
2,Eye Problems,9,2.116883116883117
2,Eye Problems,10,2.0526315789473686
2,Eye Problems,11,1.631578947368421
2,Eye Problems,12,1.4727272727272727
2,Fever,1,1.4827586206896552
2,Fever,2,2.3733333333333335
2,Fever,3,1.7777777777777777
2,Fever,4,1.7462686567164178
2,Fever,5,1.8135593220338984
2,Fever,6,10.3
2,Fever,7,13.945652173913043
2,Fever,8,11.827956989247312
2,Fever,9,10.644444444444444
2,Fever,10,2.26027397260274
2,Fever,11,1.6226415094339623
2,Fever,12,1.5
2,Hypertension,1,1.15
2,Hypertension,2,1.6938775510204083
2,Hypertension,3,1.2619047619047619
2,Hypertension,4,1.625
2,Hypertension,5,1.4893617021276595
2,Hypertension,6,1.3703703703703705
2,Hypertension,7,1.7446808510638299
2,Hypertension,8,1.4423076923076923
2,Hypertension,9,1.4166666666666667
2,Hypertension,10,1.6346153846153846
2,Hypertension,11,1.4
2,Hypertension,12,1.2564102564102564
2,Joint Pain,1,1.6136363636363635
2,Joint Pain,2,2.1016949152542375
2,Joint Pain,3,1.9344262295081966
2,Joint Pain,4,1.7014925373134329
2,Joint Pain,5,1.8194444444444444
2,Joint Pain,6,2.283582089552239
2,Joint Pain,7,2.236842105263158
2,Joint Pain,8,2.130434782608696
2,Joint Pain,9,2.037974683544304
2,Joint Pain,10,1.9125
2,Joint Pain,11,1.603448275862069
2,Joint Pain,12,1.456140350877193
2,Other,1,1.6440677966101696
2,Other,2,2.0454545454545454
2,Other,3,1.9230769230769231
2,Other,4,1.721311475409836
2,Other,5,1.6984126984126984
2,Other,6,2.24
2,Other,7,2.1875
2,Other,8,2.0921052631578947
2,Other,9,2.2467532467532467
2,Other,10,2.1216216216216215
2,Other,11,1.5769230769230769
2,Other,12,1.6896551724137931
2,Respiratory Issues,1,7.376344086021505
2,Respiratory Issues,2,2.1733333333333333
2,Respiratory Issues,3,2.0714285714285716
2,Respiratory Issues,4,1.7777777777777777
2,Respiratory Issues,5,1.85
2,Respiratory Issues,6,2.026315789473684
2,Respiratory Issues,7,2.2125
2,Respiratory Issues,8,2.1515151515151514
2,Respiratory Issues,9,2.0597014925373136
2,Respiratory Issues,10,2.1818181818181817
2,Respiratory Issues,11,7.733333333333333
2,Respiratory Issues,12,7.731182795698925
2,Skin Problems,1,1.8431372549019607
2,Skin Problems,2,2.0422535211267605
2,Skin Problems,3,1.765625
2,Skin Problems,4,1.9180327868852458
2,Skin Problems,5,1.8571428571428572
2,Skin Problems,6,2.0694444444444446
2,Skin Problems,7,2.3661971830985915
2,Skin Problems,8,2.2337662337662336
2,Skin Problems,9,2.303030303030303
2,Skin Problems,10,2.0
2,Skin Problems,11,1.5490196078431373
2,Skin Problems,12,1.6734693877551021
2,Stomach Issues,1,1.6444444444444444
2,Stomach Issues,2,2.0285714285714285
2,Stomach Issues,3,5.870967741935484
2,Stomach Issues,4,5.722222222222222
2,Stomach Issues,5,5.731182795698925
2,Stomach Issues,6,4.402298850574713
2,Stomach Issues,7,5.4222222222222225
2,Stomach Issues,8,4.118279569892473
2,Stomach Issues,9,4.546511627906977
2,Stomach Issues,10,2.3333333333333335
2,Stomach Issues,11,1.6129032258064515
2,Stomach Issues,12,1.5357142857142858
3,Cold/Cough,1,21.881720430107528
3,Cold/Cough,2,5.023529411764706
3,Cold/Cough,3,4.168539325842697
3,Cold/Cough,4,3.7529411764705882
3,Cold/Cough,5,3.681318681318681
3,Cold/Cough,6,5.1477272727272725
3,Cold/Cough,7,5.239130434782608
3,Cold/Cough,8,5.188888888888889
3,Cold/Cough,9,5.533333333333333
3,Cold/Cough,10,5.268817204301075
3,Cold/Cough,11,22.68888888888889
3,Cold/Cough,12,22.397849462365592
3,Diabetes,1,1.8405797101449275
3,Diabetes,2,2.5921052631578947
3,Diabetes,3,2.25
3,Diabetes,4,2.466666666666667
3,Diabetes,5,2.5277777777777777
3,Diabetes,6,2.5641025641025643
3,Diabetes,7,2.8333333333333335
3,Diabetes,8,3.0454545454545454
3,Diabetes,9,2.8072289156626504
3,Diabetes,10,2.841463414634146
3,Diabetes,11,1.8428571428571427
3,Diabetes,12,1.6865671641791045
3,Eye Problems,1,3.0697674418604652
3,Eye Problems,2,5.152941176470589
3,Eye Problems,3,3.6
3,Eye Problems,4,3.942528735632184
3,Eye Problems,5,3.923076923076923
3,Eye Problems,6,5.344827586206897
3,Eye Problems,7,5.314606741573034
3,Eye Problems,8,5.526881720430108
3,Eye Problems,9,5.433333333333334
3,Eye Problems,10,5.139784946236559
3,Eye Problems,11,3.0238095238095237
3,Eye Problems,12,2.883720930232558
3,Fever,1,2.847058823529412
3,Fever,2,5.119047619047619
3,Fever,3,3.865168539325843
3,Fever,4,3.8181818181818183
3,Fever,5,3.956989247311828
3,Fever,6,29.22222222222222
3,Fever,7,39.03260869565217
3,Fever,8,38.55913978494624
3,Fever,9,32.12222222222222
3,Fever,10,5.206521739130435
3,Fever,11,3.116279069767442
3,Fever,12,3.011904761904762
3,Hypertension,1,1.710144927536232
3,Hypertension,2,2.617283950617284
3,Hypertension,3,2.0135135135135136
3,Hypertension,4,2.311688311688312
3,Hypertension,5,2.5194805194805197
3,Hypertension,6,2.6419753086419755
3,Hypertension,7,2.929411764705882
3,Hypertension,8,2.776470588235294
3,Hypertension,9,2.675
3,Hypertension,10,2.5714285714285716
3,Hypertension,11,1.7941176470588236
3,Hypertension,12,2.014925373134328
3,Joint Pain,1,2.888888888888889
3,Joint Pain,2,4.976470588235294
3,Joint Pain,3,3.769230769230769
3,Joint Pain,4,4.1022727272727275
3,Joint Pain,5,3.966666666666667
3,Joint Pain,6,4.887640449438202
3,Joint Pain,7,5.055555555555555
3,Joint Pain,8,5.282608695652174
3,Joint Pain,9,5.056179775280899
3,Joint Pain,10,5.4021739130434785
3,Joint Pain,11,2.8902439024390243
3,Joint Pain,12,3.0114942528735633
3,Other,1,2.942528735632184
3,Other,2,5.761904761904762
3,Other,3,3.811111111111111
3,Other,4,3.696629213483146
3,Other,5,3.784090909090909
3,Other,6,4.966292134831461
3,Other,7,5.318681318681318
3,Other,8,4.967391304347826
3,Other,9,5.149425287356322
3,Other,10,5.602150537634409
3,Other,11,3.0714285714285716
3,Other,12,3.107142857142857
3,Respiratory Issues,1,22.634408602150536
3,Respiratory Issues,2,5.3882352941176475
3,Respiratory Issues,3,3.891304347826087
3,Respiratory Issues,4,4.213483146067416
3,Respiratory Issues,5,3.8764044943820224
3,Respiratory Issues,6,4.761363636363637
3,Respiratory Issues,7,5.420454545454546
3,Respiratory Issues,8,5.3076923076923075
3,Respiratory Issues,9,5.0
3,Respiratory Issues,10,5.355555555555555
3,Respiratory Issues,11,22.58888888888889
3,Respiratory Issues,12,22.698924731182796
3,Skin Problems,1,3.0823529411764707
3,Skin Problems,2,5.270588235294118
3,Skin Problems,3,4.123595505617978
3,Skin Problems,4,3.9204545454545454
3,Skin Problems,5,3.6923076923076925
3,Skin Problems,6,5.033333333333333
3,Skin Problems,7,5.318681318681318
3,Skin Problems,8,5.521739130434782
3,Skin Problems,9,5.211111111111111
3,Skin Problems,10,5.623655913978495
3,Skin Problems,11,3.0125
3,Skin Problems,12,3.0
3,Stomach Issues,1,2.925925925925926
3,Stomach Issues,2,5.469879518072289
3,Stomach Issues,3,16.462365591397848
3,Stomach Issues,4,16.488888888888887
3,Stomach Issues,5,17.010752688172044
3,Stomach Issues,6,12.133333333333333
3,Stomach Issues,7,13.282608695652174
3,Stomach Issues,8,13.43010752688172
3,Stomach Issues,9,12.733333333333333
3,Stomach Issues,10,5.163043478260869
3,Stomach Issues,11,3.36046511627907
3,Stomach Issues,12,2.847058823529412
4,Cold/Cough,1,7.655913978494624
4,Cold/Cough,2,2.298507462686567
4,Cold/Cough,3,1.9428571428571428
4,Cold/Cough,4,1.9375
4,Cold/Cough,5,1.75
4,Cold/Cough,6,2.125
4,Cold/Cough,7,2.338235294117647
4,Cold/Cough,8,2.0142857142857142
4,Cold/Cough,9,2.1384615384615384
4,Cold/Cough,10,2.207317073170732
4,Cold/Cough,11,7.966666666666667
4,Cold/Cough,12,7.376344086021505
4,Diabetes,1,1.3055555555555556
4,Diabetes,2,1.625
4,Diabetes,3,1.4
4,Diabetes,4,1.4285714285714286
4,Diabetes,5,1.375
4,Diabetes,6,1.3725490196078431
4,Diabetes,7,1.6037735849056605
4,Diabetes,8,1.640625
4,Diabetes,9,1.4
4,Diabetes,10,1.509433962264151
4,Diabetes,11,1.2857142857142858
4,Diabetes,12,1.3235294117647058
4,Eye Problems,1,1.7903225806451613
4,Eye Problems,2,2.235294117647059
4,Eye Problems,3,1.7352941176470589
4,Eye Problems,4,1.6842105263157894
4,Eye Problems,5,1.894736842105263
4,Eye Problems,6,2.257142857142857
4,Eye Problems,7,2.3506493506493507
4,Eye Problems,8,2.1125
4,Eye Problems,9,2.236111111111111
4,Eye Problems,10,2.311688311688312
4,Eye Problems,11,1.4
4,Eye Problems,12,1.653061224489796
4,Fever,1,1.7446808510638299
4,Fever,2,2.3194444444444446
4,Fever,3,1.911764705882353
4,Fever,4,1.8166666666666667
4,Fever,5,1.9264705882352942
4,Fever,6,10.50561797752809
4,Fever,7,14.01086956521739
4,Fever,8,12.913978494623656
4,Fever,9,11.133333333333333
4,Fever,10,2.0657894736842106
4,Fever,11,1.6271186440677967
4,Fever,12,1.6538461538461537
4,Hypertension,1,1.3428571428571427
4,Hypertension,2,1.5
4,Hypertension,3,1.358974358974359
4,Hypertension,4,1.4285714285714286
4,Hypertension,5,1.446808510638298
4,Hypertension,6,1.6415094339622642
4,Hypertension,7,1.38
4,Hypertension,8,1.5454545454545454
4,Hypertension,9,1.5681818181818181
4,Hypertension,10,1.4230769230769231
4,Hypertension,11,1.3142857142857143
4,Hypertension,12,1.3103448275862069
4,Joint Pain,1,1.7096774193548387
4,Joint Pain,2,1.9545454545454546
4,Joint Pain,3,1.6666666666666667
4,Joint Pain,4,1.728813559322034
4,Joint Pain,5,1.5466666666666666
4,Joint Pain,6,2.142857142857143
4,Joint Pain,7,2.2133333333333334
4,Joint Pain,8,2.28
4,Joint Pain,9,2.207792207792208
4,Joint Pain,10,2.2911392405063293
4,Joint Pain,11,1.6296296296296295
4,Joint Pain,12,1.4528301886792452
4,Other,1,1.459016393442623
4,Other,2,2.1527777777777777
4,Other,3,1.765625
4,Other,4,1.5964912280701755
4,Other,5,1.8805970149253732
4,Other,6,1.9583333333333333
4,Other,7,2.4266666666666667
4,Other,8,2.303030303030303
4,Other,9,2.223684210526316
4,Other,10,2.261904761904762
4,Other,11,1.8070175438596492
4,Other,12,1.4705882352941178
4,Respiratory Issues,1,8.612903225806452
4,Respiratory Issues,2,2.081081081081081
4,Respiratory Issues,3,1.9242424242424243
4,Respiratory Issues,4,1.8923076923076922
4,Respiratory Issues,5,1.8235294117647058
4,Respiratory Issues,6,2.3552631578947367
4,Respiratory Issues,7,2.3552631578947367
4,Respiratory Issues,8,2.25974025974026
4,Respiratory Issues,9,2.315068493150685
4,Respiratory Issues,10,2.3815789473684212
4,Respiratory Issues,11,8.3
4,Respiratory Issues,12,8.0
4,Skin Problems,1,1.6
4,Skin Problems,2,2.3066666666666666
4,Skin Problems,3,1.878787878787879
4,Skin Problems,4,2.0
4,Skin Problems,5,2.015625
4,Skin Problems,6,2.2465753424657535
4,Skin Problems,7,2.3902439024390243
4,Skin Problems,8,2.3835616438356166
4,Skin Problems,9,2.138888888888889
4,Skin Problems,10,2.2027027027027026
4,Skin Problems,11,1.5789473684210527
4,Skin Problems,12,1.7234042553191489
4,Stomach Issues,1,1.4745762711864407
4,Stomach Issues,2,2.0547945205479454
4,Stomach Issues,3,6.369565217391305
4,Stomach Issues,4,5.6
4,Stomach Issues,5,6.4021739130434785
4,Stomach Issues,6,4.431818181818182
4,Stomach Issues,7,4.988888888888889
4,Stomach Issues,8,4.208791208791209
4,Stomach Issues,9,4.3977272727272725
4,Stomach Issues,10,2.2133333333333334
4,Stomach Issues,11,1.5
4,Stomach Issues,12,1.48
5,Cold/Cough,1,8.0
5,Cold/Cough,2,2.21875
5,Cold/Cough,3,1.8095238095238095
5,Cold/Cough,4,1.709090909090909
5,Cold/Cough,5,1.9054054054054055
5,Cold/Cough,6,2.2285714285714286
5,Cold/Cough,7,2.0405405405405403
5,Cold/Cough,8,2.2266666666666666
5,Cold/Cough,9,2.2054794520547945
5,Cold/Cough,10,2.2439024390243905
5,Cold/Cough,11,7.833333333333333
5,Cold/Cough,12,7.89247311827957
5,Diabetes,1,1.2307692307692308
5,Diabetes,2,1.7358490566037736
5,Diabetes,3,1.441860465116279
5,Diabetes,4,1.375
5,Diabetes,5,1.375
5,Diabetes,6,1.5510204081632653
5,Diabetes,7,1.2545454545454546
5,Diabetes,8,1.7058823529411764
5,Diabetes,9,1.6346153846153846
5,Diabetes,10,1.52
5,Diabetes,11,1.28
5,Diabetes,12,1.131578947368421
5,Eye Problems,1,1.5
5,Eye Problems,2,2.1506849315068495
5,Eye Problems,3,1.7761194029850746
5,Eye Problems,4,1.8888888888888888
5,Eye Problems,5,1.7857142857142858
5,Eye Problems,6,2.219178082191781
5,Eye Problems,7,2.1875
5,Eye Problems,8,2.3157894736842106
5,Eye Problems,9,2.0579710144927534
5,Eye Problems,10,2.189873417721519
5,Eye Problems,11,1.7826086956521738
5,Eye Problems,12,1.3728813559322033
5,Fever,1,1.4528301886792452
5,Fever,2,2.26027397260274
5,Fever,3,1.796875
5,Fever,4,1.921875
5,Fever,5,1.6875
5,Fever,6,10.733333333333333
5,Fever,7,13.967391304347826
5,Fever,8,13.172043010752688
5,Fever,9,10.78888888888889
5,Fever,10,2.1714285714285713
5,Fever,11,1.5614035087719298
5,Fever,12,1.4833333333333334
5,Hypertension,1,1.0357142857142858
5,Hypertension,2,1.6511627906976745
5,Hypertension,3,1.3695652173913044
5,Hypertension,4,1.3333333333333333
5,Hypertension,5,1.4545454545454546
5,Hypertension,6,1.5
5,Hypertension,7,1.4655172413793103
5,Hypertension,8,1.6111111111111112
5,Hypertension,9,1.5
5,Hypertension,10,1.453125
5,Hypertension,11,1.34375
5,Hypertension,12,1.2058823529411764
5,Joint Pain,1,1.6666666666666667
5,Joint Pain,2,2.0833333333333335
5,Joint Pain,3,1.661764705882353
5,Joint Pain,4,1.8676470588235294
5,Joint Pain,5,1.7808219178082192
5,Joint Pain,6,2.1
5,Joint Pain,7,2.151898734177215
5,Joint Pain,8,2.3580246913580245
5,Joint Pain,9,1.9558823529411764
5,Joint Pain,10,2.1466666666666665
5,Joint Pain,11,1.7017543859649122
5,Joint Pain,12,1.5
5,Other,1,1.4339622641509433
5,Other,2,2.236111111111111
5,Other,3,1.890625
5,Other,4,1.7014925373134329
5,Other,5,1.8235294117647058
5,Other,6,1.974025974025974
5,Other,7,2.367088607594937
5,Other,8,2.5316455696202533
5,Other,9,2.0704225352112675
5,Other,10,2.4027777777777777
5,Other,11,1.6727272727272726
5,Other,12,1.5714285714285714
5,Respiratory Issues,1,7.956989247311828
5,Respiratory Issues,2,2.4342105263157894
5,Respiratory Issues,3,1.6825396825396826
5,Respiratory Issues,4,1.7
5,Respiratory Issues,5,1.6944444444444444
5,Respiratory Issues,6,1.9452054794520548
5,Respiratory Issues,7,2.240506329113924
5,Respiratory Issues,8,2.164383561643836
5,Respiratory Issues,9,2.0416666666666665
5,Respiratory Issues,10,2.0779220779220777
5,Respiratory Issues,11,7.222222222222222
5,Respiratory Issues,12,8.204301075268818
5,Skin Problems,1,1.5416666666666667
5,Skin Problems,2,2.463768115942029
5,Skin Problems,3,1.676056338028169
5,Skin Problems,4,1.694915254237288
5,Skin Problems,5,1.676923076923077
5,Skin Problems,6,2.1
5,Skin Problems,7,2.1772151898734178
5,Skin Problems,8,2.1066666666666665
5,Skin Problems,9,1.9714285714285715
5,Skin Problems,10,2.2567567567567566
5,Skin Problems,11,1.5
5,Skin Problems,12,1.6451612903225807
5,Stomach Issues,1,1.4642857142857142
5,Stomach Issues,2,2.1447368421052633
5,Stomach Issues,3,6.182795698924731
5,Stomach Issues,4,5.411111111111111
5,Stomach Issues,5,6.301075268817204
5,Stomach Issues,6,4.393258426966292
5,Stomach Issues,7,4.48314606741573
5,Stomach Issues,8,4.395604395604396
5,Stomach Issues,9,4.160919540229885
5,Stomach Issues,10,2.0273972602739727
5,Stomach Issues,11,1.488888888888889
5,Stomach Issues,12,1.5535714285714286
6,Cold/Cough,1,22.322580645161292
6,Cold/Cough,2,5.011764705882353
6,Cold/Cough,3,3.6153846153846154
6,Cold/Cough,4,4.183908045977011
6,Cold/Cough,5,3.6091954022988504
6,Cold/Cough,6,5.034090909090909
6,Cold/Cough,7,5.630434782608695
6,Cold/Cough,8,5.336956521739131
6,Cold/Cough,9,5.157303370786517
6,Cold/Cough,10,5.311827956989247
6,Cold/Cough,11,23.533333333333335
6,Cold/Cough,12,22.72043010752688
6,Diabetes,1,1.9014084507042253
6,Diabetes,2,2.9871794871794872
6,Diabetes,3,2.3205128205128207
6,Diabetes,4,2.1733333333333333
6,Diabetes,5,2.282051282051282
6,Diabetes,6,2.6097560975609757
6,Diabetes,7,3.0813953488372094
6,Diabetes,8,2.8658536585365852
6,Diabetes,9,2.909090909090909
6,Diabetes,10,3.1136363636363638
6,Diabetes,11,1.7916666666666667
6,Diabetes,12,1.9428571428571428
6,Eye Problems,1,2.989130434782609
6,Eye Problems,2,4.857142857142857
6,Eye Problems,3,3.4565217391304346
6,Eye Problems,4,4.0
6,Eye Problems,5,4.263736263736264
6,Eye Problems,6,5.202247191011236
6,Eye Problems,7,5.271739130434782
6,Eye Problems,8,5.064516129032258
6,Eye Problems,9,5.438202247191011
6,Eye Problems,10,5.602150537634409
6,Eye Problems,11,3.067415730337079
6,Eye Problems,12,2.9239130434782608
6,Fever,1,3.043956043956044
6,Fever,2,5.035294117647059
6,Fever,3,3.9450549450549453
6,Fever,4,4.034090909090909
6,Fever,5,3.966666666666667
6,Fever,6,30.38888888888889
6,Fever,7,39.28260869565217
6,Fever,8,35.96774193548387
6,Fever,9,31.92222222222222
6,Fever,10,5.406593406593407
6,Fever,11,3.1176470588235294
6,Fever,12,2.8
6,Hypertension,1,1.578125
6,Hypertension,2,2.792207792207792
6,Hypertension,3,2.3157894736842106
6,Hypertension,4,2.1232876712328768
6,Hypertension,5,2.329113924050633
6,Hypertension,6,2.607142857142857
6,Hypertension,7,2.841463414634146
6,Hypertension,8,3.011904761904762
6,Hypertension,9,2.7948717948717947
6,Hypertension,10,2.8795180722891565
6,Hypertension,11,2.032258064516129
6,Hypertension,12,1.9264705882352942
6,Joint Pain,1,3.146067415730337
6,Joint Pain,2,4.811764705882353
6,Joint Pain,3,3.630434782608696
6,Joint Pain,4,3.953488372093023
6,Joint Pain,5,4.188888888888889
6,Joint Pain,6,4.877777777777778
6,Joint Pain,7,5.7032967032967035
6,Joint Pain,8,5.10752688172043
6,Joint Pain,9,5.111111111111111
6,Joint Pain,10,5.4021739130434785
6,Joint Pain,11,3.2588235294117647
6,Joint Pain,12,2.7901234567901234
6,Other,1,3.2298850574712645
6,Other,2,5.011764705882353
6,Other,3,4.056818181818182
6,Other,4,3.8505747126436782
6,Other,5,3.8222222222222224
6,Other,6,5.068181818181818
6,Other,7,5.239130434782608
6,Other,8,5.3478260869565215
6,Other,9,4.719101123595506
6,Other,10,5.21505376344086
6,Other,11,3.2873563218390807
6,Other,12,2.897727272727273
6,Respiratory Issues,1,22.698924731182796
6,Respiratory Issues,2,5.0
6,Respiratory Issues,3,3.8295454545454546
6,Respiratory Issues,4,3.632183908045977
6,Respiratory Issues,5,4.076923076923077
6,Respiratory Issues,6,5.292134831460674
6,Respiratory Issues,7,4.978260869565218
6,Respiratory Issues,8,5.5
6,Respiratory Issues,9,4.898876404494382
6,Respiratory Issues,10,5.260869565217392
6,Respiratory Issues,11,23.955555555555556
6,Respiratory Issues,12,22.849462365591396
6,Skin Problems,1,3.1379310344827585
6,Skin Problems,2,5.107142857142857
6,Skin Problems,3,3.966292134831461
6,Skin Problems,4,4.1
6,Skin Problems,5,4.161290322580645
6,Skin Problems,6,4.977777777777778
6,Skin Problems,7,5.576086956521739
6,Skin Problems,8,5.311827956989247
6,Skin Problems,9,5.056179775280899
6,Skin Problems,10,4.880434782608695
6,Skin Problems,11,3.2738095238095237
6,Skin Problems,12,2.9012345679012346
6,Stomach Issues,1,3.1264367816091956
6,Stomach Issues,2,5.488095238095238
6,Stomach Issues,3,16.107526881720432
6,Stomach Issues,4,17.1
6,Stomach Issues,5,17.559139784946236
6,Stomach Issues,6,12.677777777777777
6,Stomach Issues,7,13.5
6,Stomach Issues,8,13.720430107526882
6,Stomach Issues,9,13.233333333333333
6,Stomach Issues,10,5.182795698924731
6,Stomach Issues,11,3.0120481927710845
6,Stomach Issues,12,2.9642857142857144
7,Cold/Cough,1,7.795698924731183
7,Cold/Cough,2,2.0933333333333333
7,Cold/Cough,3,1.9264705882352942
7,Cold/Cough,4,1.7586206896551724
7,Cold/Cough,5,1.5901639344262295
7,Cold/Cough,6,2.1944444444444446
7,Cold/Cough,7,2.164383561643836
7,Cold/Cough,8,2.1538461538461537
7,Cold/Cough,9,2.253731343283582
7,Cold/Cough,10,2.3733333333333335
7,Cold/Cough,11,8.033333333333333
7,Cold/Cough,12,7.684782608695652
7,Diabetes,1,1.3658536585365855
7,Diabetes,2,1.74
7,Diabetes,3,1.2941176470588236
7,Diabetes,4,1.2391304347826086
7,Diabetes,5,1.4146341463414633
7,Diabetes,6,1.553191489361702
7,Diabetes,7,1.6140350877192982
7,Diabetes,8,1.6666666666666667
7,Diabetes,9,1.360655737704918
7,Diabetes,10,1.6363636363636365
7,Diabetes,11,1.1666666666666667
7,Diabetes,12,1.44
7,Eye Problems,1,1.490909090909091
7,Eye Problems,2,2.4
7,Eye Problems,3,2.0
7,Eye Problems,4,1.75
7,Eye Problems,5,2.0684931506849313
7,Eye Problems,6,2.1714285714285713
7,Eye Problems,7,2.051948051948052
